COLLECTTIME,SBNID,MEID,MENAME,Equipment,ReplaceableUnit,RfPort,RackID,ShelfID,SlotID,ChannelID,C373910000,C373910001,C373910002,C373910003,C373910004,C373910005,C373910006,C373910007,C373910008,C373910009,C373910010,C373910011,C373910012,C373910013,C373910014,C373910015,C373910016,C373910017,C373910018,C373910019,C373910020,C373910021,C373910022,C373910023,C373910024,C373910025,C373910026,C373910027
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,812,ANT1,6,1,1,1,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,812,ANT2,6,1,1,2,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,812,ANT3,6,1,1,3,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,812,ANT4,6,1,1,4,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,2101,ANT1,7,1,1,1,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,2101,ANT4,7,1,1,4,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,2102,ANT1,8,1,1,1,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,2102,ANT4,8,1,1,4,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,2103,ANT1,9,1,1,1,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,2103,ANT4,9,1,1,4,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,803,ANT1,10,1,1,1,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
20260827000000,BA-NR-LTE,489007,SZ-BRVCK7,1,803,ANT2,10,1,1,2,-120.0,-120.0,-120.0,-119.5,-119.5,-119.5,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
